market,stock_code,company_name,before_priority,before_level1,before_level2,before_level3,before_supported,after_priority,after_level1,after_level2,after_level3,after_supported,correction_note,policy_reviewed_at,action
cn,000020,深华发A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,1,5,其他公司,,,0,2026-08-30严谨复核：主营为显示器整机组装与注塑件，不符合新型显示核心产业纳入标准；取消国家重点产业标签,2026-08-30 16:01:12,取消重点标签
cn,000927,中国铁物,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,1,5,其他公司,,,0,2026-08-30严谨复核：主营为铁路供应链、物流和综合服务，不是高端装备制造；取消国家重点产业标签,2026-08-30 16:01:12,取消重点标签
cn,002745,木林森,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,1,5,其他公司,,,0,2026-08-30严谨复核：主营为LED照明及灯具业务，不属于新型显示产业；取消国家重点产业标签,2026-08-30 16:01:12,取消重点标签
cn,300582,英飞特,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,1,5,其他公司,,,0,2026-08-30严谨复核：主营为LED驱动电源及照明组件，不属于新型显示产业；取消国家重点产业标签,2026-08-30 16:01:12,取消重点标签
cn,300684,中石科技,3,用户常用,第三梯队：卡脖子底座,集成电路材料,1,3,用户常用,第二梯队：新兴支柱产业,新材料,1,2026-08-30严谨复核：导热材料、EMI屏蔽材料属于功能性新材料，不属于集成电路材料；归入新材料,2026-08-30 16:01:12,调整产业标签
cn,300808,久量股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,1,5,其他公司,,,0,2026-08-30严谨复核：主营为LED移动/家居照明及小家电，不属于新型显示产业；取消国家重点产业标签,2026-08-30 16:01:12,取消重点标签
cn,603296,华勤技术,3,用户常用,第二梯队：新兴支柱产业,关键电子元器件,1,3,用户常用,第二梯队：新兴支柱产业,新一代智能终端,1,2026-08-30严谨复核：主营智能终端、高性能计算和AI服务器，修正原关键电子元器件标签；归入新一代智能终端,2026-08-30 16:01:12,调整产业标签
cn,603679,华体科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,1,5,其他公司,,,0,2026-08-30严谨复核：主营为照明产品研发制造，不属于新型显示产业；取消国家重点产业标签,2026-08-30 16:01:12,取消重点标签
cn,603986,兆易创新,1,黄埔线下标的,第三梯队：卡脖子底座,高端芯片,1,1,黄埔线下标的,第三梯队：卡脖子底座,存储芯片,1,2026-08-30严谨复核：2025年报显示存储芯片为主要收入来源，A/H统一为存储芯片；归入存储芯片,2026-08-30 16:01:12,调整产业标签
cn,688188,柏楚电子,3,用户常用,第二梯队：新兴支柱产业,先进计算与信息设备,1,3,用户常用,第三梯队：卡脖子底座,工业软件,1,2026-08-30严谨复核：核心为激光切割控制软件与控制系统，修正为工业软件；归入工业软件,2026-08-30 16:01:12,调整产业标签
cn,688359,三孚新科,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,1,4,国家重点扶持产业,第一梯队：AI+超级主线,PCB,1,2026-08-30严谨复核：主营PCB电镀化学品，修正原集成电路材料标签；归入PCB,2026-08-30 16:01:12,调整产业标签
cn,688550,瑞联新材,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,1,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,1,2026-08-30严谨复核：主营显示材料和医药中间体，修正原集成电路材料标签；归入新材料,2026-08-30 16:01:12,调整产业标签
cn,688603,天承科技,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,1,4,国家重点扶持产业,第一梯队：AI+超级主线,PCB,1,2026-08-30严谨复核：主营PCB沉铜/电镀化学品，修正原集成电路材料标签；归入PCB,2026-08-30 16:01:12,调整产业标签
cn,688683,莱尔科技,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,1,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,1,2026-08-30严谨复核：主营功能胶膜及电池箔，修正原集成电路材料标签；归入新材料,2026-08-30 16:01:12,调整产业标签
hk,00916,龙源电力,4,国家重点扶持产业,第二梯队：新兴支柱产业,光伏,1,4,国家重点扶持产业,第二梯队：新兴支柱产业,风电,1,2026-08-30严谨复核：公司风电为主导业务，A/H主标签统一为风电；归入风电,2026-08-30 16:01:12,调整产业标签
