audit_status,audit_reason,market,stock_code,company_name,priority_level,level1_tag,level2_tag,level3_tag,evidence_method,sector,main_business,strategic_business,industry_level_1,industry_level_2,industry_level_3,policy_review_note,tag_batch,ah_conflict
B_行业与主营一致,主营为轨交装备或核心控制/供电系统,cn,000008,神州高铁,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,主营+行业映射,公司主营业务为轨道交通运营检修装备,轨道交通运营检修装备、轨道交通运营维保服务,,机械设备,轨交设备,轨交设备Ⅲ,2026-08-30复核：生产主营“轨道交通运营检修装备、轨道交通运营维保服务”，行业分类“机械设备/轨交设备/轨交设备Ⅲ”；归入高端装备,20260830_NEW,False
A_主营直接支持,主营/新战略业务直接命中生物医药证据,cn,000009,中国宝安,3,用户常用,第二梯队：新兴支柱产业,生物医药,旧批次规则复核,公司主营业务为高新技术行业,高新技术行业、生物医药行业、房地产行业,,电力设备,电池,电池化学品,Codex复核：披露业务“高新技术行业”明确属于生物医药,PREEXISTING,False
D_确认需修正,显示器整机组装与注塑件，不具备新型显示核心器件、材料或技术主营证据，应取消重点产业标签,cn,000020,深华发A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器,显示器、注塑件,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器、注塑件”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
A_主营直接支持,主营/新战略业务直接命中集成电路证据,cn,000021,深科技,3,用户常用,第二梯队：新兴支柱产业,集成电路,旧批次规则复核,公司主营业务为高端制造,存储半导体业务、计量智能终端、高端制造,,电子,消费电子,消费电子零部件及组装,Codex复核：披露业务“高端制造”明确属于集成电路,PREEXISTING,False
A_主营直接支持,主营/新战略业务直接命中光伏证据,cn,000027,深圳能源,4,国家重点扶持产业,第二梯队：新兴支柱产业,光伏,主营/战略文本,公司主营业务为电力-燃煤,电力-燃煤、电力-燃机、电力-水电、电力-风电、电力-光伏、生态环保、综合燃气,,公用事业,电力,火力发电,2026-08-30复核：生产主营业务“电力-燃煤、电力-燃机、电力-水电、电力-风电、电力-光伏、生态环保、综合燃气”命中“光伏”；归入光伏,20260830_NEW,False
B_行业与主营一致,申万三级行业为医药流通，未发现直接冲突,cn,000028,国药一致,4,国家重点扶持产业,第二梯队：新兴支柱产业,生物医药,旧批次规则复核,公司主营业务为药品,药品、器械耗材、诊断试剂、仪器设备,,医药生物,医药商业,医药流通,Codex复核：披露业务“药品”明确属于生物医药,PREEXISTING,False
A_主营直接支持,主营/新战略业务直接命中软件与信息技术服务证据,cn,000034,神州数码,3,用户常用,第二梯队：新兴支柱产业,软件与信息技术服务,主营+行业映射,公司主营业务为消费电子业务,消费电子业务、企业增值业务、自有品牌产品、数云服务及软件、分部间抵消,,计算机,IT服务,IT服务Ⅲ,2026-08-30复核：生产主营“消费电子业务、企业增值业务、自有品牌产品、数云服务及软件、分部间抵消”，行业分类“计算机/IT服务/IT服务Ⅲ”；归入软件与信息技术服务,20260830_NEW,False
B_行业与主营一致,申万三级行业为固废治理，未发现直接冲突,cn,000035,中国天楹,4,国家重点扶持产业,第二梯队：新兴支柱产业,节能环保,主营+行业映射,公司主营业务为供电及垃圾处理服务,城市环境服务、供电及垃圾处理服务、提供建造服务,,环保,环境治理,固废治理,2026-08-30复核：生产主营“城市环境服务、供电及垃圾处理服务、提供建造服务”，行业分类“环保/环境治理/固废治理”；归入节能环保,20260830_NEW,False
A_主营直接支持,主营/新战略业务直接命中海洋工程装备证据,cn,000039,中集集团,3,用户常用,第二梯队：新兴支柱产业,海洋工程装备,主营/战略文本,公司主营业务为集装箱制造,合并抵消、循环载具、海洋工程、物流服务、空港与物流装备、消防与救援设备、能源、化工及液态食品装备、道路运输车辆、金融及资产管理、集装箱制造,,机械设备,通用设备,金属制品,2026-08-30复核：生产主营业务“合并抵消、循环载具、海洋工程、物流服务、空港与物流装备、消防与救援设备、能源、化工及液态食品装备、道路运输车辆、金融及资产管理、集装箱制造”命中“海洋工程”；归入海洋工程装备,20260830_NEW,False
A_主营直接支持,主营/新战略业务直接命中新型显示证据,cn,000045,深纺织A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为偏光片销售业务,偏光片销售业务,,电子,光学光电子,面板,2026-08-30复核：生产主营“偏光片销售业务”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
