audit_status,audit_reason,market,stock_code,company_name,priority_level,level1_tag,level2_tag,level3_tag,evidence_method,sector,main_business,strategic_business,industry_level_1,industry_level_2,industry_level_3,policy_review_note,tag_batch,ah_conflict
D_确认需修正,显示器整机组装与注塑件，不具备新型显示核心器件、材料或技术主营证据，应取消重点产业标签,cn,000020,深华发A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器,显示器、注塑件,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器、注塑件”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_确认需修正,主营铁路供应链、物流和综合服务，不是高端装备制造企业,cn,000927,中国铁物,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,主营+行业映射,公司主营业务为铁路产业综合服务,铁路产业综合服务、工程及生产物资供应链集成服务、铁路综合物流及危险品物流服务,,机械设备,轨交设备,轨交设备Ⅲ,2026-08-30复核：生产主营“铁路产业综合服务、工程及生产物资供应链集成服务、铁路综合物流及危险品物流服务”，行业分类“机械设备/轨交设备/轨交设备Ⅲ”；归入高端装备,20260830_NEW,False
D_确认需修正,主营为LED照明及灯具业务，不应归为新型显示,cn,002745,木林森,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为朗德万斯,朗德万斯、木林森,,电子,光学光电子,LED,2026-08-30复核：生产主营“朗德万斯、木林森”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_确认需修正,主营LED驱动电源和照明组件，不应归为新型显示,cn,300582,英飞特,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED驱动电源,LED驱动电源、传统组件及灯具、控制系统、新能源相关产品、模组、灯带及标识,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED驱动电源、传统组件及灯具、控制系统、新能源相关产品、模组、灯带及标识”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_确认需修正,定期报告确认主营LED移动/家居照明及小家电，不应归为新型显示,cn,300808,久量股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED移动照明,LED移动照明、LED家居照明、移动家居小电器,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED移动照明、LED家居照明、移动家居小电器”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_确认需修正,主营智能终端、高性能计算和AI服务器，当前“关键电子元器件”三级标签不准确，应改为智能终端/先进计算,cn,603296,华勤技术,3,用户常用,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为高性能计算,高性能计算、智能终端、汽车及工业产品,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“高性能计算、智能终端、汽车及工业产品”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False
D_确认需修正,主营照明产品研发制造，不应归为新型显示,cn,603679,华体科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为照明产品研发制造,照明产品研发制造、工程项目安装、锂矿加工销售、锂电池销售,,电子,光学光电子,LED,2026-08-30复核：生产主营“照明产品研发制造、工程项目安装、锂矿加工销售、锂电池销售”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_确认需修正,核心为激光切割控制软件与控制系统，当前“先进计算与信息设备”不准确，应归工业软件,cn,688188,柏楚电子,3,用户常用,第二梯队：新兴支柱产业,先进计算与信息设备,主营+行业映射,公司主营业务为平面解决方案,平面解决方案、管材解决方案、三维解决方案,,计算机,计算机设备,其他计算机设备,2026-08-30复核：生产主营“平面解决方案、管材解决方案、三维解决方案”，行业分类“计算机/计算机设备/其他计算机设备”；归入先进计算与信息设备,20260830_NEW,False
D_确认需修正,主营PCB电镀化学品，当前“集成电路材料”口径过窄且不准确,cn,688359,三孚新科,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,主营+行业映射,公司主营业务为电子化学品,电子化学品、通用电镀化学品、设备及设备构件,,电子,电子化学品,电子化学品Ⅲ,2026-08-30复核：生产主营“电子化学品、通用电镀化学品、设备及设备构件”，行业分类“电子/电子化学品/电子化学品Ⅲ”；归入集成电路材料,20260830_NEW,False
D_确认需修正,主营显示材料和医药中间体，不是集成电路材料,cn,688550,瑞联新材,4,国家重点扶持产业,第三梯队：卡脖子底座,集成电路材料,主营+行业映射,公司主营业务为显示材料,显示材料、医药中间体,,电子,电子化学品,电子化学品Ⅲ,2026-08-30复核：生产主营“显示材料、医药中间体”，行业分类“电子/电子化学品/电子化学品Ⅲ”；归入集成电路材料,20260830_NEW,False
