audit_status,audit_reason,market,stock_code,company_name,priority_level,level1_tag,level2_tag,level3_tag,evidence_method,sector,main_business,strategic_business,industry_level_1,industry_level_2,industry_level_3,policy_review_note,tag_batch,ah_conflict,audit_source_url
D_确认需修正,显示器整机组装与注塑件，不具备新型显示核心器件、材料或技术主营证据，应取消重点产业标签,cn,000020,深华发A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器,显示器、注塑件,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器、注塑件”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False,https://static.cninfo.com.cn/finalpage/2025-04-22/1223194519.PDF
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,000509,华塑控股,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为电子产品,电子产品,,电子,光学光电子,面板,2026-08-30复核：生产主营“电子产品”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到新材料直接证据；当前主要依赖其他生物制品,cn,000534,万泽股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,主营/战略文本,公司主营业务为金双歧,金属检测及加工服务、高温合金材料销售、金双歧、定君生、微生态大健康产品,,医药生物,生物制品,其他生物制品,2026-08-30复核：生产主营业务“金属检测及加工服务、高温合金材料销售、金双歧、定君生、微生态大健康产品”命中“高温合金”；归入新材料,20260830_NEW,False,
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,000727,冠捷科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器产品,显示器产品、电视产品,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器产品、电视产品”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False,
D_确认需修正,主营铁路供应链、物流和综合服务，不是高端装备制造企业,cn,000927,中国铁物,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,主营+行业映射,公司主营业务为铁路产业综合服务,铁路产业综合服务、工程及生产物资供应链集成服务、铁路综合物流及危险品物流服务,,机械设备,轨交设备,轨交设备Ⅲ,2026-08-30复核：生产主营“铁路产业综合服务、工程及生产物资供应链集成服务、铁路综合物流及危险品物流服务”，行业分类“机械设备/轨交设备/轨交设备Ⅲ”；归入高端装备,20260830_NEW,False,
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,001308,康冠科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为智能电视,智能交互显示产品、创新类显示产品、智能电视、部品销售业务,,电子,光学光电子,面板,2026-08-30复核：生产主营“智能交互显示产品、创新类显示产品、智能电视、部品销售业务”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,001314,亿道信息,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为智能硬件产品,智能硬件产品、加固智能行业终端、XR及AIoT产品,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“智能硬件产品、加固智能行业终端、XR及AIoT产品”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,终端/配套业务是否纳入该产业需按政策口径和收入占比复核，暂不直接判错,cn,002137,实益达,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为智能终端产品,智能终端产品、智能硬件制造,,电子,光学光电子,LED,2026-08-30复核：生产主营“智能终端产品、智能硬件制造”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002139,拓邦股份,3,用户常用,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为工具和家电,工具和家电、数字能源和智能汽车、机器人,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“工具和家电、数字能源和智能汽车、机器人”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
C_需人工复核,未在主营/新战略业务中找到关键电子元器件直接证据；当前主要依赖消费电子零部件及组装,cn,002369,卓翼科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,关键电子元器件,主营+行业映射,公司主营业务为网络通讯终端类,网络通讯终端类、便携式消费电子类,,电子,消费电子,消费电子零部件及组装,2026-08-30复核：生产主营“网络通讯终端类、便携式消费电子类”，行业分类“电子/消费电子/消费电子零部件及组装”；归入关键电子元器件,20260830_NEW,False,
