audit_status,audit_reason,market,stock_code,company_name,priority_level,level1_tag,level2_tag,level3_tag,evidence_method,sector,main_business,strategic_business,industry_level_1,industry_level_2,industry_level_3,policy_review_note,tag_batch,ah_conflict
C_需人工复核,未在主营/新战略业务中找到高端装备直接证据；当前主要依赖轨交设备Ⅲ,cn,000008,神州高铁,4,国家重点扶持产业,第二梯队：新兴支柱产业,高端装备,主营+行业映射,公司主营业务为轨道交通运营检修装备,轨道交通运营检修装备、轨道交通运营维保服务,,机械设备,轨交设备,轨交设备Ⅲ,2026-08-30复核：生产主营“轨道交通运营检修装备、轨道交通运营维保服务”，行业分类“机械设备/轨交设备/轨交设备Ⅲ”；归入高端装备,20260830_NEW,False
D_明显误标,主营为显示器整机和注塑件，不等同于新型显示核心产业,cn,000020,深华发A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器,显示器、注塑件,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器、注塑件”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
C_需人工复核,未在主营/新战略业务中找到先进计算与信息设备直接证据；当前主要依赖其他计算机设备,cn,000066,中国长城,3,用户常用,第二梯队：新兴支柱产业,先进计算与信息设备,主营+行业映射,公司主营业务为计算产业,系统装备、计算产业,,计算机,计算机设备,其他计算机设备,2026-08-30复核：生产主营“系统装备、计算产业”，行业分类“计算机/计算机设备/其他计算机设备”；归入先进计算与信息设备,20260830_NEW,False
C_需人工复核,未在主营/新战略业务中找到软件与信息技术服务直接证据；当前主要依赖垂直应用软件,cn,000503,国新健康,4,国家重点扶持产业,第二梯队：新兴支柱产业,软件与信息技术服务,主营+行业映射,公司主营业务为数字医保,数字医保、数字医疗、数字医药、健康服务,,计算机,软件开发,垂直应用软件,2026-08-30复核：生产主营“数字医保、数字医疗、数字医药、健康服务”，行业分类“计算机/软件开发/垂直应用软件”；归入软件与信息技术服务,20260830_NEW,False
D_明显误标,主营仅披露电子产品，缺少新型显示产品或技术证据,cn,000509,华塑控股,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为电子产品,电子产品,,电子,光学光电子,面板,2026-08-30复核：生产主营“电子产品”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
C_需人工复核,未在主营/新战略业务中找到新材料直接证据；当前主要依赖其他生物制品,cn,000534,万泽股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,主营/战略文本,公司主营业务为金双歧,金属检测及加工服务、高温合金材料销售、金双歧、定君生、微生态大健康产品,,医药生物,生物制品,其他生物制品,2026-08-30复核：生产主营业务“金属检测及加工服务、高温合金材料销售、金双歧、定君生、微生态大健康产品”命中“高温合金”；归入新材料,20260830_NEW,False
C_需人工复核,未在主营/新战略业务中找到新材料直接证据；当前主要依赖其他金属新材料,cn,000633,合金投资,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,主营+行业映射,公司主营业务为合金棒材,合金线材、合金棒材、运输服务,,有色金属,金属新材料,其他金属新材料,2026-08-30复核：生产主营“合金线材、合金棒材、运输服务”，行业分类“有色金属/金属新材料/其他金属新材料”；归入新材料,20260830_NEW,False
C_需人工复核,未在主营/新战略业务中找到新材料直接证据；当前主要依赖特钢Ⅲ,cn,000708,中信特钢,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,主营+行业映射,公司主营业务为特殊钢棒材,特殊钢棒材、特殊钢线材、特种钢板、特种无缝钢管,,钢铁,特钢,特钢Ⅲ,2026-08-30复核：生产主营“特殊钢棒材、特殊钢线材、特种钢板、特种无缝钢管”，行业分类“钢铁/特钢/特钢Ⅲ”；归入新材料,20260830_NEW,False
D_明显误标,主营为显示器和电视终端，不能仅因申万面板分类认定为新型显示核心产业,cn,000727,冠捷科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器产品,显示器产品、电视产品,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器产品、电视产品”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
C_需人工复核,未在主营/新战略业务中找到新材料直接证据；当前主要依赖磁性材料,cn,000795,英洛华,4,国家重点扶持产业,第二梯队：新兴支柱产业,新材料,主营+行业映射,公司主营业务为钕铁硼,钕铁硼、电机系列、电动轮椅及代步车、音响扬声器类,,有色金属,金属新材料,磁性材料,2026-08-30复核：生产主营“钕铁硼、电机系列、电动轮椅及代步车、音响扬声器类”，行业分类“有色金属/金属新材料/磁性材料”；归入新材料,20260830_NEW,False
