audit_status,audit_reason,market,stock_code,company_name,priority_level,level1_tag,level2_tag,level3_tag,evidence_method,sector,main_business,strategic_business,industry_level_1,industry_level_2,industry_level_3,policy_review_note,tag_batch,ah_conflict
D_明显误标,主营为显示器整机和注塑件，不等同于新型显示核心产业,cn,000020,深华发A,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器,显示器、注塑件,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器、注塑件”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,主营仅披露电子产品，缺少新型显示产品或技术证据,cn,000509,华塑控股,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为电子产品,电子产品,,电子,光学光电子,面板,2026-08-30复核：生产主营“电子产品”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,主营为显示器和电视终端，不能仅因申万面板分类认定为新型显示核心产业,cn,000727,冠捷科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为显示器产品,显示器产品、电视产品,,电子,光学光电子,面板,2026-08-30复核：生产主营“显示器产品、电视产品”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,仅为显示终端、照明或泛电子产品，缺少新型显示核心产品证据,cn,001308,康冠科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为智能电视,智能交互显示产品、创新类显示产品、智能电视、部品销售业务,,电子,光学光电子,面板,2026-08-30复核：生产主营“智能交互显示产品、创新类显示产品、智能电视、部品销售业务”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,主营为智能终端和智能硬件制造，缺少新型显示主营证据,cn,002137,实益达,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为智能终端产品,智能终端产品、智能硬件制造,,电子,光学光电子,LED,2026-08-30复核：生产主营“智能终端产品、智能硬件制造”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_明显误标,主营披露无法证明新型显示，主要品牌业务偏LED照明,cn,002745,木林森,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为朗德万斯,朗德万斯、木林森,,电子,光学光电子,LED,2026-08-30复核：生产主营“朗德万斯、木林森”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_明显误标,仅为显示终端、照明或泛电子产品，缺少新型显示核心产品证据,cn,002955,鸿合科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为IWB产品,IWB产品、智能视听解决方案,,电子,光学光电子,面板,2026-08-30复核：生产主营“IWB产品、智能视听解决方案”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,仅为显示终端、照明或泛电子产品，缺少新型显示核心产品证据,cn,300219,鸿利智汇,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED封装产品,LED封装产品、汽车照明产品,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED封装产品、汽车照明产品”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_明显误标,主营仅披露数字设备，缺少新型显示产品或技术证据,cn,300269,联建光电,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为数字设备,数字设备,,电子,光学光电子,LED,2026-08-30复核：生产主营“数字设备”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_明显误标,主营LED驱动电源及照明产品，不属于新型显示核心业务,cn,300582,英飞特,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED驱动电源,LED驱动电源、传统组件及灯具、控制系统、新能源相关产品、模组、灯带及标识,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED驱动电源、传统组件及灯具、控制系统、新能源相关产品、模组、灯带及标识”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_明显误标,主营LED移动及家居照明，不属于新型显示产业,cn,300808,久量股份,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为LED移动照明,LED移动照明、LED家居照明、移动家居小电器,,电子,光学光电子,LED,2026-08-30复核：生产主营“LED移动照明、LED家居照明、移动家居小电器”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
D_明显误标,仅为显示终端、照明或泛电子产品，缺少新型显示核心产品证据,cn,300909,汇创达,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为信号传输元器件及组件,导光结构件及组件、信号传输元器件及组件、代工业务、新能源结构组件,,电子,光学光电子,面板,2026-08-30复核：生产主营“导光结构件及组件、信号传输元器件及组件、代工业务、新能源结构组件”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,仅为显示终端、照明或泛电子产品，缺少新型显示核心产品证据,cn,301045,天禄科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为导光板,导光板、台式显示器、笔记本电脑、液晶电视、灯具、平板电脑,,电子,光学光电子,面板,2026-08-30复核：生产主营“导光板、台式显示器、笔记本电脑、液晶电视、灯具、平板电脑”，行业分类“电子/光学光电子/面板”；归入新型显示,20260830_NEW,False
D_明显误标,主营照明产品研发制造，不属于新型显示产业,cn,603679,华体科技,4,国家重点扶持产业,第二梯队：新兴支柱产业,新型显示,主营+行业映射,公司主营业务为照明产品研发制造,照明产品研发制造、工程项目安装、锂矿加工销售、锂电池销售,,电子,光学光电子,LED,2026-08-30复核：生产主营“照明产品研发制造、工程项目安装、锂矿加工销售、锂电池销售”，行业分类“电子/光学光电子/LED”；归入新型显示,20260830_NEW,False
